allowance/spender	has_type	address
function/allowance	has_output	allowance/output
allowance/output	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/balanceof
function/balanceof	has_input	balanceof/account
balanceof/account	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/burn
function/burn	has_input	burn/amount
burn/amount	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/burnfrom
function/burnfrom	has_input	burnfrom/account
burnfrom/account	has_type	address
function/burnfrom	has_input	burnfrom/amount
burnfrom/amount	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/decreaseallowance
function/decreaseallowance	has_input	decreaseallowance/spender
decreaseallowance/spender	has_type	address
function/decreaseallowance	has_input	decreaseallowance/subtractedvalue
decreaseallowance/subtractedvalue	has_type	uint256
function/decreaseallowance	has_output	decreaseallowance/output
decreaseallowance/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/getroleadmin
function/getroleadmin	has_input	getroleadmin/role
getroleadmin/role	has_type	bytes32
function/getroleadmin	has_output	getroleadmin/output
getroleadmin/output	has_type	bytes32
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/getrolemember
function/getrolemember	has_input	getrolemember/role
getrolemember/role	has_type	bytes32
function/getrolemember	has_input	getrolemember/index
getrolemember/index	has_type	uint256
function/getrolemember	has_output	getrolemember/output
getrolemember/output	has_type	address
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/getrolemembercount
function/getrolemembercount	has_input	getrolemembercount/role
getrolemembercount/role	has_type	bytes32
function/getrolemembercount	has_output	getrolemembercount/output
getrolemembercount/output	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/grantrole
function/grantrole	has_input	grantrole/role
grantrole/role	has_type	bytes32
function/grantrole	has_input	grantrole/account
grantrole/account	has_type	address
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/hasrole
function/hasrole	has_input	hasrole/role
hasrole/role	has_type	bytes32
function/hasrole	has_input	hasrole/account
hasrole/account	has_type	address
function/hasrole	has_output	hasrole/output
hasrole/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/increaseallowance
function/increaseallowance	has_input	increaseallowance/spender
increaseallowance/spender	has_type	address
function/increaseallowance	has_input	increaseallowance/addedvalue
increaseallowance/addedvalue	has_type	uint256
function/increaseallowance	has_output	increaseallowance/output
increaseallowance/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/mint
function/mint	has_input	mint/to
mint/to	has_type	address
function/mint	has_input	mint/amount
mint/amount	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/name
function/name	has_output	name/output
name/output	has_type	string
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/nonces
function/nonces	has_input	nonces/owner
nonces/owner	has_type	address
function/nonces	has_output	nonces/output
nonces/output	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/permit
function/permit	has_input	permit/owner
permit/owner	has_type	address
function/permit	has_input	permit/spender
permit/spender	has_type	address
function/permit	has_input	permit/value
permit/value	has_type	uint256
function/permit	has_input	permit/deadline
permit/deadline	has_type	uint256
function/permit	has_input	permit/v
permit/v	has_type	uint8
function/permit	has_input	permit/r
permit/r	has_type	bytes32
function/permit	has_input	permit/s
permit/s	has_type	bytes32
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/renouncerole
function/renouncerole	has_input	renouncerole/role
renouncerole/role	has_type	bytes32
function/renouncerole	has_input	renouncerole/account
renouncerole/account	has_type	address
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/revokerole
function/revokerole	has_input	revokerole/role
revokerole/role	has_type	bytes32
function/revokerole	has_input	revokerole/account
revokerole/account	has_type	address
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/supportsinterface
function/supportsinterface	has_input	supportsinterface/interfaceid
supportsinterface/interfaceid	has_type	bytes4
function/supportsinterface	has_output	supportsinterface/output
supportsinterface/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/symbol
function/symbol	has_output	symbol/output
symbol/output	has_type	string
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/totalsupply
function/totalsupply	has_output	totalsupply/output
totalsupply/output	has_type	uint256
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/transfer
function/transfer	has_input	transfer/to
transfer/to	has_type	address
function/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
function/transfer	has_output	transfer/output
transfer/output	has_type	bool
0x02814f435dd04e254be7ae69f61fca19881a780d	has_function	function/transferfrom
function/transferfrom	has_input	transferfrom/from
transferfrom/from	has_type	address
function/transferfrom	has_input	transferfrom/to
transferfrom/to	has_type	address
function/transferfrom	has_input	transferfrom/amount
transferfrom/amount	has_type	uint256
function/transferfrom	has_output	transferfrom/output
transferfrom/output	has_type	bool 
0x043c308bb8a5ae96d0093444be7f56459f1340b1	type	smartcontractaddress
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_event	event/approval
event/approval	has_input	approval/owner
approval/owner	has_type	address
event/approval	has_input	approval/spender
approval/spender	has_type	address
event/approval	has_input	approval/value
approval/value	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_event	event/ownershiptransferred
event/ownershiptransferred	has_input	ownershiptransferred/previousowner
ownershiptransferred/previousowner	has_type	address
event/ownershiptransferred	has_input	ownershiptransferred/newowner
ownershiptransferred/newowner	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_event	event/transfer
event/transfer	has_input	transfer/from
transfer/from	has_type	address
event/transfer	has_input	transfer/to
transfer/to	has_type	address
event/transfer	has_input	transfer/value
transfer/value	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/allowance
function/allowance	has_input	allowance/owner
allowance/owner	has_type	address
function/allowance	has_input	allowance/spender
allowance/spender	has_type	address
function/allowance	has_output	allowance/output
allowance/output	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/balanceof
function/balanceof	has_input	balanceof/account
balanceof/account	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/burn
function/burn	has_input	burn/addr
burn/addr	has_type	address
function/burn	has_input	burn/amount
burn/amount	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/decreaseallowance
function/decreaseallowance	has_input	decreaseallowance/spender
decreaseallowance/spender	has_type	address
function/decreaseallowance	has_input	decreaseallowance/subtractedvalue
decreaseallowance/subtractedvalue	has_type	uint256
function/decreaseallowance	has_output	decreaseallowance/output
decreaseallowance/output	has_type	bool
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/increaseallowance
function/increaseallowance	has_input	increaseallowance/spender
increaseallowance/spender	has_type	address
function/increaseallowance	has_input	increaseallowance/addedvalue
increaseallowance/addedvalue	has_type	uint256
function/increaseallowance	has_output	increaseallowance/output
increaseallowance/output	has_type	bool
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/invite_amount
function/invite_amount	has_output	invite_amount/output
invite_amount/output	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/issue
function/issue	has_input	issue/addr
issue/addr	has_type	address
function/issue	has_input	issue/amount
issue/amount	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/mine
function/mine	has_input	mine/addr
mine/addr	has_type	address
function/mine	has_input	mine/amount
mine/amount	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/name
function/name	has_output	name/output
name/output	has_type	string
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/owner
function/owner	has_output	owner/output
owner/output	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/renounceownership
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/summapri
function/summapri	has_output	summapri/output
summapri/output	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/symbol
function/symbol	has_output	symbol/output
symbol/output	has_type	string
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/tokenissue
function/tokenissue	has_output	tokenissue/output
tokenissue/output	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/totalsupply
function/totalsupply	has_output	totalsupply/output
totalsupply/output	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/transfer
function/transfer	has_input	transfer/recipient
transfer/recipient	has_type	address
function/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
function/transfer	has_output	transfer/output
transfer/output	has_type	bool
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/transferfrom
function/transferfrom	has_input	transferfrom/sender
transferfrom/sender	has_type	address
function/transferfrom	has_input	transferfrom/recipient
transferfrom/recipient	has_type	address
function/transferfrom	has_input	transferfrom/amount
transferfrom/amount	has_type	uint256
function/transferfrom	has_output	transferfrom/output
transferfrom/output	has_type	bool
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/transferownership
function/transferownership	has_input	transferownership/newowner
transferownership/newowner	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/updateinviteamount
function/updateinviteamount	has_input	updateinviteamount/amount
updateinviteamount/amount	has_type	uint256
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/updatesummapri
function/updatesummapri	has_input	updatesummapri/addr
updatesummapri/addr	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/updatetokenissue
function/updatetokenissue	has_input	updatetokenissue/addr
updatetokenissue/addr	has_type	address
0x043c308bb8a5ae96d0093444be7f56459f1340b1	has_function	function/withdraweth
